,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,Insidious: The Last Key,Horror Mystery Thriller,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Mystery Thriller
1,The Strange Ones,Thriller Drama,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Alex Pettyfer James Freedson-Jackson Emily Althaus Lauren Wolkstein Thriller Drama
2,Stratton,Action Thriller,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Dominic Cooper Austin Stowell Gemma Chan Simon West Action Thriller
3,Sweet Country,Western Crime Thriller Drama,Warwick Thornton,Bryan Brown,Sam Neill,,
4,The Commuter,Action Thriller Mystery,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
5,Proud Mary,Thriller Action Crime,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Taraji P. Henson Billy Brown Danny Glover Babak Najafi Thriller Action Crime
6,Acts of Violence,Action Crime Thriller,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action Crime Thriller
7,Freak Show,Comedy Drama,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Alex Lawther Abigail Breslin Bette Midler Trudie Styler Comedy Drama
8,Humor Me,Comedy,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
9,Vazante,Drama,Daniela Thomas,Adriano Carvalho,Luana Nastas,,
10,Mary and the Witch's Flower,Fantasy Adventure Animation Family,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation Family
11,12 Strong,War Drama Action History,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
12,Den of Thieves,Action Thriller Crime,Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Gerard Butler 50 Cent Pablo Schreiber Christian Gudegast Action Thriller Crime
13,Forever My Girl,Romance Drama Music,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music
14,Maze Runner: The Death Cure,Science Fiction Action Adventure Thriller,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
15,The Insult,Comedy Crime,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Adel Karam Camille Salameh Kamel El Basha Ziad Doueiri Comedy Crime
16,Please Stand By,Comedy Drama,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
17,Winchester,Horror Thriller,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
18,A Fantastic Woman,Drama,Sebastián Lelio,Daniela Vega,Francisco Reyes,,
19,Armed,Action Thriller,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Mario Van Peebles William Fichtner Ryan Guzman Mario Van Peebles Action Thriller
20,The Cloverfield Paradox,Horror Science Fiction Action Thriller,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Daniel Brühl Elizabeth Debicki Aksel Hennie Julius Onah Horror Science Fiction Action Thriller
21,Bad Apples,Horror,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Horror
22,Peter Rabbit,Animation Adventure Family,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,James Corden Domhnall Gleeson Rose Byrne Will Gluck Animation Adventure Family
23,Fifty Shades Freed,Drama Romance,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Dakota Johnson Jamie Dornan Kim Basinger James Foley Drama Romance
24,The 15:17 to Paris,Thriller History Drama,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood Thriller History Drama
25,La Boda de Valentina,Comedy,Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Marco Polo Constandse (director); Omar Chaparro Marimar Vega Ryan Carnes Marco Polo Constandse Comedy
26,Kri,Adventure Drama Fantasy,Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,Anmol K.C. Aditi Budhathoki Anoop Bikram Shahi Surendra Poudel Adventure Drama Fantasy
27,Permission,Comedy Romance Drama,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Rebecca Hall Dan Stevens Morgan Spector Brian Crano Comedy Romance Drama
28,Monster Family,Animation Family Fantasy Comedy,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,Emily Watson Jason Isaacs Nick Frost Holger Tappe Animation Family Fantasy Comedy
29,Golden Exits,Drama,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
30,Black Panther,Action Adventure Science Fiction,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan Action Adventure Science Fiction"
31,Early Man,Family Comedy Animation Adventure,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Eddie Redmayne Tom Hiddleston Maisie Williams Nick Park Family Comedy Animation Adventure
32,Loveless,Comedy Drama,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Maryana Spivak Alexei Rozin Matvey Novikov Andrey Zvyagintsev Comedy Drama
33,The Party,Comedy,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Timothy Spall Kristin Scott Thomas Patricia Clarkson Sally Potter Comedy
34,Nostalgia,Drama Crime,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Jon Hamm Nick Offerman Amber Tamblyn Mark Pellington Drama Crime
35,Black '47,Drama Western,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Hugo Weaving Jim Broadbent Stephen Rea Lance Daly Drama Western
36,Samson,Action Drama Adventure,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Taylor James Jackson Rathbone Billy Zane Bruce Macdonald Action Drama Adventure
37,Game Night,Mystery Comedy Crime,"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,"Jason Bateman Rachel McAdams Kyle Chandler Jonathan Goldstein, John Francis Daley Mystery Comedy Crime"
38,Annihilation,Science Fiction Horror,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Science Fiction Horror
39,Every Day,Fantasy Romance,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Angourie Rice Maria Bello Debby Ryan Michael Sucsy Fantasy Romance
40,The Cured,Horror Drama Science Fiction,David Freyne,David Freyne (director); Elliot Page,Sam Keeley,Tom Vaughan-Lawlor,David Freyne (director); Elliot Page Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
41,The Lodgers,Horror Thriller Mystery,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Charlotte Vega Bill Milner Eugene Simon Brian O'Malley Horror Thriller Mystery
42,Red Sparrow,Mystery Thriller,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Mystery Thriller
43,Death Wish,Action Crime Drama Thriller,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Bruce Willis Vincent D'Onofrio Dean Norris Eli Roth Action Crime Drama Thriller
44,The Vanishing of Sidney Hall,Drama Mystery Romance,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Drama Mystery Romance
