,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,The Grudge,Horror Mystery Thriller,Nicolas Pesce,Andrea Riseborough,Demián Bichir,John Cho,Andrea Riseborough Demián Bichir John Cho Nicolas Pesce Horror Mystery Thriller
1,Underwater,Horror Science Fiction Action Adventure,William Eubank,Kristen Stewart,Vincent Cassel,Jessica Henwick,Kristen Stewart Vincent Cassel Jessica Henwick William Eubank Horror Science Fiction Action Adventure
2,Like a Boss,Comedy,Miguel Arteta,Tiffany Haddish,Rose Byrne,Salma Hayek,Tiffany Haddish Rose Byrne Salma Hayek Miguel Arteta Comedy
3,Three Christs,Drama,Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Richard Gere Peter Dinklage Walton Goggins Jon Avnet Drama
4,Inherit the Viper,Crime Thriller Drama,Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Josh Hartnett Margarita Levieva Chandler Riggs Anthony Jerjen Crime Thriller Drama
5,The Sonata,Horror Thriller Mystery,Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Freya Tingley Simon Abkarian Rutger Hauer Andrew Desmond Horror Thriller Mystery
6,The Murder of Nicole Brown Simpson,Thriller Drama Crime,Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Mena Suvari Nick Stahl Taryn Manning Daniel Farrands Thriller Drama Crime
7,Bad Boys for Life,Thriller Action Crime,Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Will Smith Martin Lawrence Vanessa Hudgens Adil El Arbi and Bilall Fallah Thriller Action Crime
8,Dolittle,Family Fantasy Adventure,Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Robert Downey Jr. Antonio Banderas Michael Sheen Stephen Gaghan Family Fantasy Adventure
9,A Fall from Grace,Drama Thriller Mystery,Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Crystal R. Fox Phylicia Rashad Bresha Webb Tyler Perry Drama Thriller Mystery
10,The Gentlemen,Comedy Crime Action,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Matthew McConaughey Charlie Hunnam Henry Golding Guy Ritchie Comedy Crime Action
11,The Turning,Horror Thriller,Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Mackenzie Davis Finn Wolfhard Brooklynn Prince Floria Sigismondi Horror Thriller
12,The Last Full Measure,War Drama,Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,Sebastian Stan Christopher Plummer William Hurt Todd Robinson War Drama
13,John Henry,Animation Drama Family,Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Terry Crews Ludacris Jamila Velazquez Will Forbes Animation Drama Family
14,The Rhythm Section,Action Thriller,Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Blake Lively Jude Law Sterling K. Brown Reed Morano Action Thriller
