,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,Escape Room,Horror Thriller Mystery,Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Taylor Russell Logan Miller Deborah Ann Woll Adam Robitel Horror Thriller Mystery
1,Rust Creek,Thriller Drama Action Crime,Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Hermione Corfield Jay Paulson Sean O'Bryan Jen McGowan Thriller Drama Action Crime
2,American Hangman,Thriller,Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Donald Sutherland Vincent Kartheiser Oliver Dennis Wilson Coneybeare Thriller
3,A Dog's Way Home,Drama Adventure Family,Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Bryce Dallas Howard Edward James Olmos Alexandra Shipp Charles Martin Smith Drama Adventure Family
4,The Upside,Comedy Drama,Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Bryan Cranston Kevin Hart Nicole Kidman Neil Burger Comedy Drama
5,Replicas,Science Fiction Thriller Drama,Jeffrey Nachmanoff,Keanu Reeves,,,
6,After Darkness,Drama Family Thriller Science Fiction,Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Natalia Dyer Kyra Sedgwick Tim Daly Batán Silva Drama Family Thriller Science Fiction
7,Glass,Thriller Drama Science Fiction,M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,James McAvoy Bruce Willis Samuel L. Jackson M. Night Shyamalan Thriller Drama Science Fiction
8,Close,Drama,Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Noomi Rapace Sophie Nélisse Indira Varma Vicky Jewson Drama
9,The Standoff at Sparrow Creek,Drama Thriller Mystery,Henry Dunham,James Badge Dale,Brian Geraghty,,
10,The Final Wish,Horror,Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Lin Shaye Michael Welch Melissa Bolona Timothy Woodward Jr. Horror
