,Title,genres,director_name,actor_name1,actor_name2,actor_name3,genres_director_actor
0,Shadow in the Cloud,Horror Action War,Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale,Chloë Grace Moretz Taylor John Smith Beulah Koale Roseanne Liang Horror Action War
1,The White Tiger,Drama,Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas,Adarsh Gourav Rajkummar Rao Priyanka Chopra Jonas Ramin Bahrani Drama
2,Locked Down,Comedy Crime Drama,Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant,Anne Hathaway Chiwetel Ejiofor Stephen Merchant Doug Liman Comedy Crime Drama
3,The Dig,Drama History,Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James,Carey Mulligan Ralph Fiennes Lily James Simon Stone Drama History
4,Outside the Wire,Thriller Action Science Fiction,Mikael Håfström,Anthony Mackie,Damson Idris,Emily Beecham,Anthony Mackie Damson Idris Emily Beecham Mikael Håfström Thriller Action Science Fiction
5,The Marksman,Action,Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba,Liam Neeson Katheryn Winnick Juan Pablo Raba Robert Lorenz Action
6,The Ultimate Playlist of Noise,Drama Music,Bennett Lasseter,Keean Johnson,Madeline Brewer,Rya Kihlstedt,Keean Johnson Madeline Brewer Rya Kihlstedt Bennett Lasseter Drama Music
7,American Skin,Crime Drama,Nate Parker,Nate Parker,Omari Hardwick,Theo Rossi,Nate Parker Omari Hardwick Theo Rossi Nate Parker Crime Drama
8,Don't Tell a Soul,Crime,Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson,Jack Dylan Grazer Fionn Whitehead Rainn Wilson Alex McAulay Crime
9,Our Friend,Drama Romance,Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck,Jason Segel Dakota Johnson Casey Affleck Gabriela Cowperthwaite Drama Romance
10,No Man's Land,Drama Action History,Conor Allyn,Jake Allyn,Frank Grillo,Jorge A. Jiménez,Jake Allyn Frank Grillo Jorge A. Jiménez Conor Allyn Drama Action History
11,Born a Champion,Action Drama,Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden,Sean Patrick Flanery Dennis Quaid Katrina Bowden Alex Ranarivelo Action Drama
12,Wrong Turn,Horror Thriller,Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage,Charlotte Vega Adain Bradley Bill Sage Mike P. Nelson Horror Thriller
13,Penguin Bloom,Drama,Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver,Naomi Watts Andrew Lincoln Jacki Weaver Glenda Ivin Drama
14,The Little Things,Crime Drama Thriller,John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto,Denzel Washington Rami Malek Jared Leto John Lee Hancock Crime Drama Thriller
15,Finding ʻOhana,Action Adventure Comedy Family,Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson,Kea Peahu Alex Aiono Lindsay Watson Jude Weng Action Adventure Comedy Family
16,Nomadland,Drama,Chloé Zhao,Frances McDormand,David Strathairn,Linda May,Frances McDormand David Strathairn Linda May Chloé Zhao Drama
17,Malcolm & Marie,Drama Romance,Sam Levinson,Zendaya,John David Washington,,
18,Palmer,Drama,Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright,Justin Timberlake Juno Temple Alisha Wainwright Fisher Stevens Drama
19,Falling,Drama,Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen,Viggo Mortensen Lance Henriksen Terry Chen Viggo Mortensen Drama
20,Bliss,Science Fiction Romance Drama,Mike Cahill,Owen Wilson,Salma Hayek,,
21,Little Fish,Romance Science Fiction Drama,Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo,Olivia Cooke Jack O'Connell Raúl Castillo Chad Hartigan Romance Science Fiction Drama
22,Son of the South,History Drama,Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer,Lucas Till Lucy Hale Cedric the Entertainer Barry Alexander Brown History Drama
23,PVT Chat,Drama,Ben Hozie,Julia Fox,Nikki Belfiglio,Austin Brown,Julia Fox Nikki Belfiglio Austin Brown Ben Hozie Drama
24,Music,Music Drama,Sia,Kate Hudson,Leslie Odom Jr.,Maddie Ziegler,Kate Hudson Leslie Odom Jr. Maddie Ziegler Sia Music Drama
25,Judas and the Black Messiah,Drama History,Shaka King,Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons,Daniel Kaluuya Lakeith Stanfield Jesse Plemons Shaka King Drama History
26,The Mauritanian,Drama Thriller,Kevin Macdonald,Jodie Foster,Tahar Rahim,Shailene Woodley,Jodie Foster Tahar Rahim Shailene Woodley Kevin Macdonald Drama Thriller
27,Breaking News in Yuba County,Comedy Drama Crime,Tate Taylor,Allison Janney,Mila Kunis,Awkwafina,Allison Janney Mila Kunis Awkwafina Tate Taylor Comedy Drama Crime
28,Barb and Star Go to Vista Del Mar,Comedy,Josh Greenbaum,Kristen Wiig,Annie Mumolo,Jamie Dornan,Kristen Wiig Annie Mumolo Jamie Dornan Josh Greenbaum Comedy
